#,Name,Type,Country / League,Followers,Instagram URL
1,Cristiano Ronaldo,Player,Portugal / Al Nassr,669938763,https://www.instagram.com/cristiano
2,Lionel Messi,Player,Argentina / Inter Miami,511083042,https://www.instagram.com/leomessi
3,Neymar Jr,Player,Brazil / Santos,237611074,https://www.instagram.com/neymarjr
4,Real Madrid,Club,Spain / LaLiga,178991957,https://www.instagram.com/realmadrid
5,FC Barcelona,Club,Spain / LaLiga,145791159,https://www.instagram.com/fcbarcelona
6,Kylian Mbappé,Player,France / Real Madrid,131767601,https://www.instagram.com/k.mbappe
7,UEFA Champions League,League,Europe,119482103,https://www.instagram.com/championsleague
8,David Beckham,Player (retired),England,87220784,https://www.instagram.com/davidbeckham
9,Premier League,League,England,79538992,https://www.instagram.com/premierleague
10,Ronaldinho,Player (retired),Brazil,79419568,https://www.instagram.com/ronaldinho
11,Karim Benzema,Player,France / Al-Ittihad,73994453,https://www.instagram.com/karimbenzema
12,Marcelo,Player (retired),Brazil,67149227,https://www.instagram.com/marcelotwelve
13,Paris Saint-Germain,Club,France / Ligue 1,66664344,https://www.instagram.com/psg
14,Sergio Ramos,Player,Spain / Monterrey,66504276,https://www.instagram.com/sergioramos
15,Mohamed Salah,Player,Egypt / Liverpool,65599243,https://www.instagram.com/mosalah
16,FIFA World Cup,Tournament,International,64187034,https://www.instagram.com/fifaworldcup
17,Paul Pogba,Player,France / Monaco,63537988,https://www.instagram.com/paulpogba
18,Vinícius Jr,Player,Brazil / Real Madrid,61656714,https://www.instagram.com/vinijr
19,Juventus,Club,Italy / Serie A,58896282,https://www.instagram.com/juventus
20,Manchester City,Club,England / Premier League,56223733,https://www.instagram.com/mancity
21,Paulo Dybala,Player,Argentina / Roma,56000753,https://www.instagram.com/paulodybala
22,LaLiga,League,Spain,54856094,https://www.instagram.com/laliga
23,Gareth Bale,Player (retired),Wales,51119493,https://www.instagram.com/garethbale11
24,James Rodríguez,Player,Colombia / León,50231396,https://www.instagram.com/jamesrodriguez10
25,Toni Kroos,Player (retired),Germany,48806874,https://www.instagram.com/toni.kr8s
26,Liverpool,Club,England / Premier League,48461904,https://www.instagram.com/liverpoolfc
27,Fabrizio Romano,Journalist,Italy,46367886,https://www.instagram.com/fabriziorom
28,Luis Suárez,Player,Uruguay / Inter Miami,46306056,https://www.instagram.com/luissuarez9
29,Lamine Yamal,Player,Spain / FC Barcelona,44817712,https://www.instagram.com/lamineyamal
30,Bayern Munich,Club,Germany / Bundesliga,44704241,https://www.instagram.com/fcbayern
31,Chelsea,Club,England / Premier League,44105313,https://www.instagram.com/chelseafc
32,Andrés Iniesta,Player (retired),Spain,42143071,https://www.instagram.com/andresiniesta8
33,Jude Bellingham,Player,England / Real Madrid,41938369,https://www.instagram.com/judebellingham
34,Antoine Griezmann,Player,France / Orlando City,38957324,https://www.instagram.com/antogriezmann
35,Luka Modrić,Player,Croatia / AC Milan,38851269,https://www.instagram.com/lukamodric10
36,adidas Football,Brand,Global,34928007,https://www.instagram.com/adidasfootball
37,Arsenal,Club,England / Premier League,32271399,https://www.instagram.com/arsenal
38,Al Nassr,Club,Saudi Arabia / Saudi Pro League,29787449,https://www.instagram.com/alnassr
39,Kaká,Player (retired),Brazil,27195530,https://www.instagram.com/kaka
40,Kevin De Bruyne,Player,Belgium / Napoli,26262552,https://www.instagram.com/kevindebruyne
41,Flamengo,Club,Brazil / Série A,24923386,https://www.instagram.com/flamengo
42,Achraf Hakimi,Player,Morocco / Paris Saint-Germain,24354788,https://www.instagram.com/achrafhakimi
43,Rodrygo,Player,Brazil / Real Madrid,23441659,https://www.instagram.com/rodrygogoes
44,Pedri,Player,Spain / FC Barcelona,22757515,https://www.instagram.com/pedri
45,Marcus Rashford,Player,England,22359741,https://www.instagram.com/marcusrashford
46,Federico Valverde,Player,Uruguay / Real Madrid,21690644,https://www.instagram.com/fedevalverde
47,Álvaro Morata,Player,Spain,21630073,https://www.instagram.com/alvaromorata
48,Raphinha,Player,Brazil / FC Barcelona,20528223,https://www.instagram.com/raphinha
49,Iker Casillas,Player (retired),Spain,20437330,https://www.instagram.com/ikercasillas
50,Thiago Silva,Player,Brazil / Fluminense,20426780,https://www.instagram.com/thiagosilva
51,Harry Kane,Player,England / Bayern Munich,18549449,https://www.instagram.com/harrykane
52,Pelé,Legend,Brazil,18349182,https://www.instagram.com/pele
53,Inter Miami CF,Club,USA / MLS,18259988,https://www.instagram.com/intermiamicf
54,AC Milan,Club,Italy / Serie A,18136680,https://www.instagram.com/acmilan
55,Galatasaray,Club,Türkiye / Süper Lig,18062590,https://www.instagram.com/galatasaray
56,Thibaut Courtois,Player,Belgium / Real Madrid,17956978,https://www.instagram.com/thibautcourtois
57,Atlético de Madrid,Club,Spain / LaLiga,17847059,https://www.instagram.com/atleticodemadrid
58,France,National Team,France,17817966,https://www.instagram.com/equipedefrance
59,Virgil van Dijk,Player,Netherlands / Liverpool,17443749,https://www.instagram.com/virgilvandijk
60,Sadio Mané,Player,Senegal / Al Nassr,17169070,https://www.instagram.com/sadiomaneofficiel
61,Radamel Falcao,Player,Colombia / Millonarios,17109550,https://www.instagram.com/falcao
62,Bundesliga,League,Germany,16811286,https://www.instagram.com/bundesliga
63,N'Golo Kanté,Player,France / Fenerbahçe,16313282,https://www.instagram.com/nglkante
64,Bleacher Report Football,Media,USA / Global,15995482,https://www.instagram.com/brfootball
65,Argentina,National Team,Argentina,15884070,https://www.instagram.com/afaseleccion
66,Corinthians,Club,Brazil / Série A,15745244,https://www.instagram.com/corinthians
67,Wayne Rooney,Player (retired),England,15588202,https://www.instagram.com/waynerooney
68,Eduardo Camavinga,Player,France / Real Madrid,15111222,https://www.instagram.com/camavinga
69,Emiliano Martínez,Player,Argentina / Aston Villa,15048056,https://www.instagram.com/emi_martinez26
70,Didier Drogba,Player (retired),Ivory Coast,14945348,https://www.instagram.com/didierdrogba
71,Manuel Neuer,Player,Germany / Bayern Munich,14881786,https://www.instagram.com/manuelneuer
72,UEFA Europa League,League,Europe,14652111,https://www.instagram.com/europaleague
73,Frenkie de Jong,Player,Netherlands / FC Barcelona,14561302,https://www.instagram.com/frenkiedejong
74,Inter Milan,Club,Italy / Serie A,14474213,https://www.instagram.com/inter
75,Cesc Fàbregas,Manager,Spain / Como,14442648,https://www.instagram.com/cescf4bregas
76,Enzo Fernández,Player,Argentina / Chelsea,12963705,https://www.instagram.com/enzojfernandez
77,Brahim Díaz,Player,Morocco / Real Madrid,12782599,https://www.instagram.com/brahim
78,England,National Team,England,12763054,https://www.instagram.com/england
79,Phil Foden,Player,England / Manchester City,12392264,https://www.instagram.com/philfoden
80,Fernando Torres,Player (retired),Spain,12346336,https://www.instagram.com/fernandotorres
81,Serie A,League,Italy,11864935,https://www.instagram.com/seriea
82,Xavi Hernández,Player (retired),Spain,11785254,https://www.instagram.com/xavi
83,Fenerbahçe,Club,Türkiye / Süper Lig,11698754,https://www.instagram.com/fenerbahce
84,Gianluigi Buffon,Player (retired),Italy,10987037,https://www.instagram.com/gianluigibuffon
85,Al Hilal,Club,Saudi Arabia / Saudi Pro League,10656706,https://www.instagram.com/alhilal
86,OneFootball,Media,Germany / Global,10275186,https://www.instagram.com/onefootball
87,Transfermarkt,Media,Germany / Global,10193820,https://www.instagram.com/transfermarkt_official
